人物,位置,内容
旁白,3,青年相当累了。
旁白,3,坐到雪里，背靠着树，休息一会儿吧。
旁白,3,体力不支，头也歪了。就这样紧贴到树皮上。
旁白,3,意外地没有粗糙的质感。正相反，如此的柔嫩，光滑。
旁白,3,就像是人的肌肤。
旅人,4,“...哎。”
旁白,3,青年慢慢睁开眼，不出所料——
旁白,3,眼前的是，一张人脸。
旁白,3,人脸之下，是脖子，躯干，全身的皮肤，都被剥下来一般，紧紧缝合在这树上。
旁白,3,环视整个森林，尽是如此。
俄吕司,5,“别坐在雪里睡觉，会死的。”
旅人,4,“......”
旁白,3,突如其来的声音的打断了思考。追寻源头，却不知如何形容那形态。
旁白,3,这刺骨的寒冬下，那美丽中性的面孔，如同普渡的神明，如同一尊沉默的雕塑。
旁白,3,一言不发，神性满盈。
旁白,3,简直就像冬天的化身。
旁白,3,“我来这里给我的姐姐扫墓，她似乎是变成了失忆的幽灵。你是……”
旁白,3,完全没听见对方空性的嗓音，旅人只感到了恐惧。
旁白,3,腰间正在震动，前所未有的震动。
旁白,3,或者说“颤抖”。
俄吕司,5,“……哦？呵呵…来我的宫殿里吧。我可不想一直待在这寒冬中。”
旁白,3,战栗着，旅人跟上了眼前的男人。
END,,
旁白,3,男人的步伐很快，却意外的轻灵，好似漂浮在空中。
旁白,3,路过的行人无一不对起叩首，好似一场盛大的降神典礼。
俄吕司,5,“到了。”
END,,
旁白,3,眼前的是巨石堆砌的宫殿与高塔，满天飞雪之下，好似白洁的神兽。
旁白,3,迈入宫内，转眼变成了诡异的魔境。
旁白,3,人皮，脏器，白骨，肢体。
旁白,3,红与白染满了这里，在摇曳的火光之下，构成了富丽堂皇的血与肉。
俄吕司,5,“就在这吧，来。”
旁白,3,王转过身来，眼中飘出散淡的白光。
俄吕司,5,“窥探我的心。然后，仰视我的绝望吧。”
END,,
形象描写,2,神性满溢，白冬菩提
形象描写,2,“……”
俄吕司（第一关）,1,“姐姐，我昨天见到了个小孩，我帮助了他，还和他约定了。我，应该没有让你失望吧。”
俄吕司（第一关）,1,“找到了，那只魔兽的方位。只要把它杀了，冬天就会......”
俄吕司（第一关）,1,“作为征冬将军，我将带领大家，讨伐那唤来无穷寒冬的魔兽。全军，进发。”
END,,
俄吕司（第一关）,10,“第一列队，前进。”
士兵,6,“将军小心！后面！”
俄吕司（第一关）,10,“做得好。”
士兵,7,“将军快躲——！啊啊啊啊啊——！！”
俄吕司（第一关）,10,“第二列队，右翼进攻。”
士兵,9,“将军，我也来保护您！”
俄吕司（第一关）,10,“第三四五六列队，正面总攻。”
END,,
形象描写,2,“我…相信我自己…”
俄吕司（第二关）,1,“为什么...明明胜利了，明明已经杀死它了…为什么...冬天还...”
俄吕司（第二关）,1,“什么...你说冬天已经消失了？不对，我应该相信我自己...姐姐说了..”
俄吕司（第二关）,1,“萨斯提，这里没别人。我再问一遍，当年管理赈灾粮的时候，你是不是趁机做了些什么，比如女性。”
END,,
俄吕司（第二关）,10,“为表清廉，包括萨斯提卿在内，近20年来每一个贪婪的腐虫，都已被我诛杀。”
众士兵,7,“好！！将军英明！！”
俄吕司（第二关）,10,“上代国王海璐陛下，已决定将王位传贤于我。今日起，我就是非冬国的王。”
众士兵,9,“俄吕司陛下！俄吕司陛下！俄吕司陛下！”
俄吕司（第二关）,10,“我必将倾尽自己的一切，为非冬国的永世长存奠基。望各位将士百官，也随我同行，直到生命的尽头。”
众士兵,10,“至死方休！至死方休！至死方休！”
END,,
形象描写,2,“我做错了吗…”
俄吕司（第三关）,1,“为什么...我眼中的雪...一刻都未停止...难道真的是我错了吗。”
俄吕司（第三关）,1,“……谁？谁的声音？”
俄吕司（第三关）,1,“这声音...啊。幼时在朕的家门前欺骗朕说朕父母归来的歹徒，怎敢出现于此。”
END,,
骰子,10,“只要你愿意，你的父母，也可招来。”
俄吕司（第三关）,7,“骰子...哈哈哈哈哈……”
骰子,10,“...许愿吧。”
俄吕司（第三关）,9,“朕为何相信你？更何况朕知道，万事万物，皆有代价。”
骰子,10,“许愿吧。无论付出何种代价，都渴求至极的愿望。”
俄吕司（第三关）,10,“............纵使寒冬永不终结，非冬国屹然不动，亘古长存。”
骰子,10,“投掷我。献出你珍视的一切。”
俄吕司（第三关）,10,“好。”
END,,
形象描写,2,“欲望的力量…”
俄吕司（第四关）,1,“国内出现了偌大的河流与森林？朕知道了，你下去吧。”
俄吕司（第四关）,1,“嗯。也就是说，预计至少七十年内，我国的水源供应与木材供应都能得到完全的保障了。”
俄吕司（第四关）,1,“朕的军队呢？人都到哪里去了？”
END,,
俄吕司（第四关）,6,“...为什么，不是夺走我的肉体与灵魂。为什么，是他们。”
骰子,10,“拿走你一切珍视之物。”
俄吕司（第四关）,9,“他们...啊…啊…”
骰子,10,“如你所愿，愿望实现了。”
俄吕司（第四关）,7,“呵呵...对。这样就好。他们也会开心的。”
骰子,10,“不知道。”
俄吕司（第四关）,6,“我知道，我知道的。他们说过，要为了国家而死。嗯…付出一切……”
骰子,10,“不知道。”
俄吕司（第四关）,8,“我知道。以皮骨为薪，以血肉为河。为了非冬国无数子民，他们，会开心的。很开心。”
骰子,10,“......”
END,,
形象描写,,“我是对的…”
俄吕司（第五关）,,“迪翁...拉塞尔...阿拉...你们真的，会开心的，对么。你们每一个人的牺牲，都绝对没有白费。”
俄吕司（第五关）,,“迪翁...我今天看到了。你的皮肤与骨，在一家人的柴堆中燃烧...他们围绕着你，报团取暖。”
俄吕司（第五关）,,“姐姐，你看到了么？我正在……守护这个国家。”
END,,
俄吕司（第五关）,7,“如果有一天，人民知道了这森林与河流的真身，会怎样呢？”
骰子,10,“不会的。愿望中包含了幻术，他们无法分辨。”
俄吕司（第五关）,9,“你还真是....贴心。”
骰子,10,“......”
俄吕司（第五关）,7,“...这也是，我心底的愿望吗？连同这永不停息的雪。就像在为我祭奠。”
骰子,10,“不知道。”
俄吕司（第五关）,9,“……如果有一天这树林与河流被取尽了。会怎么样？”
骰子,10,“你可以——”
俄吕司（第五关）,10,“我会再次许愿。保护国家。”
骰子,10,“嗯。”
END,,
俄吕司（第六关）,1,“你，看到了吧，我的一切。”
俄吕司（第六关）,1,“无需惊讶，无论何时，我都可以察觉你的存在。因为我就在这里，伫立不倒。”
俄吕司（第六关）,1,“正如我所说，我将再次许愿。保护非冬永续长存。”
END,,
旁白,10,疑惑，深深的疑惑。
旁白,10,旅人不明白，如此庞大的愿望，要怎样再次许愿。
旁白,10,王的双眼，洞悉了眼前人的无知。
俄吕司（第六关）,8,“我的国民。”
旅人,10,“......？”
俄吕司（第六关）,8,“我的国民。他们是我所珍视的一切。我将献出所有七十岁以上人民的生命，换得国家不衰。”
旅人,10,“……”
旁白,10,沉默。
旁白,10,不是说不出话，而是无话可说。
旁白,10,剩下的，只有愤怒。
俄吕司（第六关）,10,“要阻止我么？来试试吧。击碎我的内心，毁掉我的骰子，断绝我的愿望。”
END,,
俄吕司（第七关）,10,“你赢了，我的骰子没了，愿望消失了。你知道吗？现在开始，河流和树林就要慢慢消失了。这个国家的未来，会很难。”
END,,
俄吕司,5,“你知道当今世界，每个国家的平均寿命吗？”
旁白,3,突如其来的问题，令青年懵住了。
俄吕司,5,“五十五岁。好点的地方六十五岁。”
俄吕司,5,“因为这片树林与河水存在，我的国民平均寿命达到了七十岁。我让他们在生命日暮之时去世，成为守护巨木的泥土，有何不可？”
俄吕司,5,“我就是非冬的神。”
俄吕司,5,“不止如此，我清楚，这场大雪就是我的愿望引起的。”
旅人,4,“为什么.....”
俄吕司,5,“这场大雪，使我的人民不受外敌侵扰，使我的人民经受锻炼，使我的人民变得强大。不仅如此，便携式的火种源已经接近成功，想必到时候，即便处于寒冬之中，大家也永远不会受伤了。”
旁白,3,王在雪中踱步，靠近了过来。
俄吕司,5,“选吧，交出来你的骰子，还是死在这里。”
 ,,
