人物,位置,内容
路人NPC,5,“多亏了殿下，才有这座城市。”
路人NPC,5,“听说红河旁边在闹鬼”
路人NPC,5,“今天的水也很轻清澈呀。”
END,,
旁白,3,旅人似乎陷入了茫然
旁白,3,不知何时来到此处，他低着头，看着河水中的倒影。
旁白,3,血红色的自己。隐隐约约，似乎在水中有什么东西在招手。
旁白,3,将眼神聚焦——
旁白,3,无数脏器平铺，相互连接交织成一副网。在其空隙之间，有又无数手臂伸出。或健壮，或瘦削，或完整，或残缺。却都无一例外，失去了皮肤与骨，只剩下肌肉。
旁白,3,旅人紧锁着眉头，像是沉默的乌云。
END,,
白衣女,5,“嘿！你想什么呢？”
旁白,3,清澈爽朗的女声，追寻源头，那是一名衣着白裙的少女。脸上生有些许雀斑，却难掩其下灿烂的笑容。
旁白,3,是照亮这片血红的太阳。
旁白,3,即便如此，旅人也不为眼前的光芒而炫目。
旁白,3,腰间的骰子在呐喊。
旁白,3,猛地回过神来，已如条件反射般掷出了它。
旁白,3,而那少女，则是一动不动——不对，她或许指了指自己的头。
END,, 
形象描写,2,一袭白衣，霓裳花阳
形象描写,2,“有我在呢。”
白衣女（第一关）,1,“好啦好啦，不哭了不哭了～有#@在～”
白衣女（第一关）,1,“#@去卖木头哦。答应#@在家待着哦。说好了，来碰个拳。”
白衣女（第一关）,1,“**，**你在哪！谁看到我**了吗？！**！！”
END,,
白衣女（第一关）,6,“**！你刚刚去哪了？！你知不知道我有多着急！”
俄吕司,9,“对...对不起#@，我...我听到屋外有声音，告诉我说爸%￥妈回来了，我就...”
白衣女（第一关）,6,“他们已经已经死了！%￥...已经死了...回不来了...”
俄吕司,9,“......嗯。”
白衣女（第一关）,7,“唉，对不起**，#@不该吼你。以后我们就一直在一起好好活着，好不好。”
俄吕司,9,“嗯。”
END,,
形象描写,2,“呜呜…”
白衣女（第二关）,1,“哎呀～我们家**都长大了～都当兵了～以后可要保护好#@哦。”
白衣女（第二关）,1,“雪...是雪灾！大家快离开这里！”
白衣女（第二关）,1,“什么？不能给我们赈灾粮？为什么？等..！你干嘛！滚开！！**！小——”
END,,
白衣女（第二关）,6,“呦，**！怎么才回来呢？”
俄吕司,8,“东区受灾严重，支援了好久。今天救了不少人呢。”
白衣女（第二关）,6,“好棒呀**。以后可要保护好——”
俄吕司,8,“咋说一半不说了？不过不用你说，我也会的。”
白衣女（第二关）,7,“嗯...嗯！快来吃饭吧，都凉了。”
俄吕司,8,“今天菜还不少。”
白衣女（第二关）,7,“啊...嗯。赈灾粮发了不少，有人...比较照顾我。”
俄吕司,8,“那还挺好的。”
白衣女（第二关）,10,“嗯嗯，哈哈，对呀。”
END,,
形象描写,2,面黄肌瘦，病恹恹
白衣女（第三关）,1,“**...你回来了。听说都当上将军了，很厉害嘛。”
白衣女（第三关）,1,“别激动嘛**，人家是贵族。别说杀了他，揍他一顿，你这将军就没了。”
白衣女（第三关）,1,“**，我没有不在意自己。我只是更在意你。你可以往上走，￥#%@&！”
END,,
白衣女（第三关）,7,“我可不去医院哦。”
俄吕司,9,“...你在开玩笑么？”
白衣女（第三关）,7,“你才刚当上将军，咱家以前的积蓄，去不起的。”
俄吕司,9,“%！！”
白衣女（第三关）,7,“嘘～**，坐在#@身边。”
俄吕司,9,“...嗯。”
白衣女（第三关）,6,“嘿嘿，你哭啦？”
俄吕司,9,“没...有...”
白衣女（第三关）,10,“**，往上走吧。相信你自己，改变&%￥。约定好了哦。”
俄吕司,10,“好。”
END,,
白衣女（第四关）,1,“我……是谁……”
白衣女（第四关）,1,“明明是……绝对不能忘记的…”
白衣女（第四关）,1,“啊…啊…”
END,,
白衣女（第四关）,10,“我啊，似乎忘记了很多东西。但我记得，在那一刻，看见了骰子。”
白衣女（第四关）,10,“他让我许愿，我就说了。然后投了骰子”
白衣女（第四关）,10,“第一次，是我的右手。”
白衣女（第四关）,10,“第二次，是我的右腿。”
白衣女（第四关）,10,“第三次，是我的皮肤。”
白衣女（第四关）,10,“第四次，是我的内脏。”
白衣女（第四关）,10,“看来我还是蛮幸运的，第五次就成功了呢。”
END,,
旁白,3,旅人伸手想去抓住少女，却径直穿了过去。
旁白,3,好似本来就没有东西存在般。
旁白,3,旅人感到了疑惑。
白衣女,5,“我混淆了过去和现在，甚至忘记了那孩子是谁。
白衣女,5,“但我知道，他总是不让人放心。”
旁白,3,少女的模样开始模糊，像她的记忆一般。
白衣女,5,“嘿嘿，看来时间到了。”
旅人,4,“……”
白衣女,5,“我真的，好想永远陪在他身边。”
白衣女,5,“毕竟，没有我，他根本不行呢。”
旁白,3,少女留下的，是她一生中无数次展露的笑容。
旁白,3,尽管不知何时遗失了自己的世界，却仍然记住笑容的方式。
旁白,3,灿烂至极，毫无瑕疵。
END,, 
