人物,位置,内容,跳转位置,1
路人男,51,,,
END,,,播放1,
路人男,51,“我等会还要去白桦林砍树呢。”,,
END,,,播放2,
路人男,51,,,
END,,,播放1,
路人男,51,“刚刚那酒可真美啊。”,,
END,,,播放2,
路人女,51,,,
END,,,播放1,
路人女,51,“好冷…好冷…”,,
END,,,播放2,
旅人,4,“呼...呼....”,,
旁白,3,跨过河流，旅人在城镇中穿行。一止一息，掸去肩上的积雪。,,
旅人,4,“哎……”,,
旁白,3,不自觉的叹息，折射出其目中的世界——时不时出现的异形生有两颗头颅，半对半地紧紧镶嵌在一颗骰子两侧，全身的脉络暴露在外，清晰可见。,,
旁白（师傅）,3,“持有这骰子的人就会背负这样的世界，不要扭头。他们的骰子与生命早已被定格，是命运被锚钉的可悲之人。正因如此，我们才去寻求可能，哪怕他是如此的不公。然而，当你的骰子呐喊时，就应该收起你的杂念，因为此时你面对的——”,,
旁白,3,恶臭的味道灌入青年的鼻腔，猛地冲断了他的思绪。顺着腐败与腥烂的踪迹，到达了一片树林之中。,,
旁白,3,一时间恍惚了眼，怎会有如此圣洁的森林？,,
白桦林,12,,,
END,,,T,
白桦林cg,11,,,
旁白,3,马上，这恍惚便被一股恶臭扯回了现实。,,
旁白,3,骰子在颤动。,,
旅人,4,“是沉溺欲望，穷尽一切的穷徒。”,,
END,,,T,
旁白,3,那东西，简直就是生有手脚的焦炭。,,
旁白,3,在白色树林的映衬下，显得更加骇人。,,
旁白,3,全身皮肤被黑色包裹，残存的血水与脓包预示着这黑色绝非天生的肤色，而是火焰的证明。,,
学者3,5,,,
END,,,播放,
学者3,5,“嘶...嘶...”,,
旁白,3,连发声都做不到，“那东西”应该是连舌头和喉咙都被灼烧萎缩了吧。,,
旁白,3,不知是疑惑，感伤，亦或愤怒，旅人闭上了双眼。,,
旁白,3,旋即将骰子掷向那“焦炭”。,,
学者1,1,,,
END,,,1,
形象描写,2,“这样或许…这样…”,,
形象描写,2,书生气质，儒雅温和,,
学者1,1,“老师，为什么我们的国家总是在下雪？哈哈，没有，不是抱怨，而是思考。如何才能..结束这场雪...”,,
学者1,1,“谢谢您老师！我这还是第一次收到生日礼物。您看这眼镜戴上去是不是让我更有学者范了。”,,
学者1,1,“老师，我认为解决冬天的关键或许不在“雪”本身，应该是“温度”。或许...可以从“火”下手。”,,
学者,13,,,
END,,,2,
学者1,7,“老师，我没有玩弄火焰，我需要了解它的特性，特别是对“温度”的影响。如果有更加庞大的火焰——”,,
老师,8,“太危险了，孩子。”,,
学者1,7,“这是重要的课题，身为学者，我有相应的觉悟。就像您说过的，我们应该有探索未知的勇气。”,,
老师,8,“探险不是冒险。你和这个国家，都没有准备好去‘控制’火焰，现在的我们，只能‘依靠’火焰。”,,
学者1,6,“老师！我们作为求知廷的一员，难道不应该想尽一切办法帮助这个国家，渡过难关吗？！”,,
老师,8,“‘难关’？孩子，‘冬’与‘雪’都是自然，是天理。学会共处才是我们的为人之道。我是不会批准你的。”,,
学者1,10,“......这样啊。对不起老师，大家已经等不起了。”,,
老师,10,“你干什么！！”,,
学者2,1,,,
END,,,1,
形象描写,2,“啊…啊…”,,
学者2,1,“成功了！这就是可控的火源！非冬国有救了！！”,,
学者2,1,“不...不可能...我明明测试了那么多次！为什么！！老师...老师...”,,
学者2,1,“啊！！火！火！！好烫！好疼！啊啊啊啊啊啊啊！！！！”,,
END,,,2,
学者2,7,“火...火...谁来...”,,
骰子,10,“许愿吧。”,,
学者2,7,“谁...？救...”,,
骰子,10,“许愿吧。”,,
学者2,7,“......给我沐浴烈火而不死的生命...我还想...继续....”,,
骰子,10,“转动我吧。总有一面，会实现你的愿望。”,,
学者2,7,“别的面...会怎样....”,,
骰子,10,“......转动我吧。总有一面，会实现你的愿望。”,,
学者2,7,“嗯。”,,
学者3,1,,,
END,,,1,
形象描写,2,黑色的焦炭，血水和脓包,,
学者3,1,“嘶...呃....”,,
学者3,1,“疼...疼...”,,
学者3,1,“研...究...”,,
END,,,2,
学者3,10,“啊...啊....”,,
学者3,10,“只能在心里喊叫，谁来...”,,
学者3,10,“这火焰，到底何时才能熄灭？”,,
END,,,1,
学者3,1,“好疼，好想大声呐喊。”,,
学者3,1,“好疼，什么时候才会停。”,,
学者3,1,“好疼，不想再思考。谁来...杀了我....”,,
END,,,2,
学者3,6,“好疼，还想继续研究。”,,
学者3,7,“好疼，怎样拯救大家。”,,
学者3,8,“好疼，老师...您在哪...”,,
学者3,10,“好疼，我的...眼镜呢？”,,
学者3,5,,,
END,,,0,
旅人,4,“...”,,
旁白,3,旅人走上前，摘下脚胖一条枝丫，不一会儿折成眼镜的模样。,,
旁白,3,默默地蹲下来，就好像安抚路边濒死的小猫。,,
学者3,5,“啊...啊...”,,
旁白,3,拼命挤出喉咙的空气，学者似乎说了些什么。,,
,,,Z,
旁白,3,旅人向前走去，将这虚假的眼镜放到他的眼前。,,
旁白,3,一滴眼泪落下，在雪中留下了凹痕。,,
旁白,3,不知道是谁的呢。,,
旁白,3,一刹，学者的身体开始崩溃。碳化的手化成无数灰烬，与风雪一同卷入茫茫的白色。,,
旁白,3,望向远方，什么都不剩下。,,
END,,,T,
遇到领主,12,,第四章,
